ProductOrSector,shift_probability,market_size,india_current_share,potential_savings
Camels and other camelids (Camelidae),0.37554632898368095,0.0072,0.0,0.5184
Reptiles (including snakes and turtles),0.3755289588559256,0.03754,0.0,14.092516
Other,0.3754865850473603,0.111351,0.04297341664446373,123.98854313571428
Tobacco and manufactured tobacco substitutes,0.37436846015537867,0.775937,0.9758747286852556,6018.06650019
Meat and edible meat offal,0.37031876711262873,9.147344,0.041865659471100825,836736.64423392
